year,category_code,category_description,citypart_code,citypart_name,branches_total,branches_12visitorsplus,employees
2022,2,"campings, hostels, bed and breakfast",N,Noord,10,5,15
2022,2,"campings, hostels, bed and breakfast",T,Zuidoost,0,0,15
2022,3,restaurants,A,Centrum,825,750,8240
2022,3,restaurants,B,Westpoort,15,15,75
2022,3,restaurants,E,West,285,255,1950
2022,3,restaurants,F,Nieuw-West,135,115,830
2022,3,restaurants,K,Zuid,435,390,4290
2022,3,restaurants,M,Oost,235,200,1660
2022,3,restaurants,N,Noord,105,90,1110
2022,3,restaurants,S,Weesp,0,0,5
2022,3,restaurants,T,Zuidoost,75,65,610
2022,4,"snackbars, lunchrooms, icecream parlors, fish stands",A,Centrum,375,350,2590
2022,4,"snackbars, lunchrooms, icecream parlors, fish stands",B,Westpoort,5,5,10
2022,4,"snackbars, lunchrooms, icecream parlors, fish stands",E,West,285,270,1235
2022,4,"snackbars, lunchrooms, icecream parlors, fish stands",F,Nieuw-West,190,175,855
2022,4,"snackbars, lunchrooms, icecream parlors, fish stands",K,Zuid,280,255,1550
2022,4,"snackbars, lunchrooms, icecream parlors, fish stands",M,Oost,170,155,790
2022,4,"snackbars, lunchrooms, icecream parlors, fish stands",N,Noord,120,110,440
2022,4,"snackbars, lunchrooms, icecream parlors, fish stands",T,Zuidoost,115,105,1090
2022,5,"pubs, cafes, party locations, coffee places",A,Centrum,505,470,5050
2022,5,"pubs, cafes, party locations, coffee places",B,Westpoort,10,5,215
2022,5,"pubs, cafes, party locations, coffee places",E,West,155,145,825
2022,5,"pubs, cafes, party locations, coffee places",F,Nieuw-West,50,40,270
2022,5,"pubs, cafes, party locations, coffee places",K,Zuid,155,130,1135
2022,5,"pubs, cafes, party locations, coffee places",M,Oost,95,90,910
2022,5,"pubs, cafes, party locations, coffee places",N,Noord,45,40,400
2022,5,"pubs, cafes, party locations, coffee places",S,Weesp,0,0,0
2022,5,"pubs, cafes, party locations, coffee places",T,Zuidoost,25,20,140
2022,7,catering,A,Centrum,470,360,885
2022,7,catering,B,Westpoort,30,25,140
2022,7,catering,E,West,660,510,930
2022,7,catering,F,Nieuw-West,400,315,575
2022,7,catering,K,Zuid,580,435,960
2022,7,catering,M,Oost,465,355,685
2022,7,catering,N,Noord,360,285,535
2022,7,catering,S,Weesp,5,0,5
2022,7,catering,T,Zuidoost,260,205,4575
2022,8,kantines,A,Centrum,10,10,30
2022,8,kantines,B,Westpoort,0,0,20
2022,8,kantines,E,West,5,5,30
2022,8,kantines,F,Nieuw-West,10,10,35
2022,8,kantines,K,Zuid,15,15,80
2022,8,kantines,M,Oost,10,5,125
2022,8,kantines,N,Noord,10,5,20
2022,8,kantines,T,Zuidoost,5,5,270
